bar_index,timestamp,close,py_trail_up,py_trail_down,py_eq,py_in_premium,py_in_discount,py_position_pct,ninja_in_premium,ninja_in_discount,match
253,2025-11-11 03:14:00,4148.5,4147.4,4123.1,4135.25,True,False,100,False,False,False
254,2025-11-11 03:15:00,4149,4147.4,4123.1,4135.25,True,False,100,False,False,False
255,2025-11-11 03:16:00,4149.5,4147.4,4123.1,4135.25,True,False,100,False,False,False
256,2025-11-11 03:17:00,4150.9,4147.4,4123.1,4135.25,True,False,100,False,False,False
257,2025-11-11 03:18:00,4149.2,4147.4,4123.1,4135.25,True,False,100,False,False,False
258,2025-11-11 03:19:00,4149.1,4147.4,4123.1,4135.25,True,False,100,False,False,False
259,2025-11-11 03:20:00,4151,4147.4,4123.1,4135.25,True,False,100,False,False,False
260,2025-11-11 03:21:00,4149.9,4147.4,4123.1,4135.25,True,False,100,False,False,False
261,2025-11-11 03:22:00,4150,4147.4,4123.1,4135.25,True,False,100,False,False,False
262,2025-11-11 03:23:00,4149.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
263,2025-11-11 03:24:00,4150.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
264,2025-11-11 03:25:00,4149.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
265,2025-11-11 03:26:00,4150.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
266,2025-11-11 03:27:00,4150.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
267,2025-11-11 03:28:00,4150.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
268,2025-11-11 03:29:00,4150.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
269,2025-11-11 03:30:00,4150,4147.4,4123.1,4135.25,True,False,100,True,False,True
270,2025-11-11 03:31:00,4149.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
271,2025-11-11 03:32:00,4151.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
272,2025-11-11 03:33:00,4152,4147.4,4123.1,4135.25,True,False,100,True,False,True
273,2025-11-11 03:34:00,4152.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
274,2025-11-11 03:35:00,4153.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
275,2025-11-11 03:36:00,4153.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
276,2025-11-11 03:37:00,4153.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
277,2025-11-11 03:38:00,4153.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
278,2025-11-11 03:39:00,4153.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
279,2025-11-11 03:40:00,4151.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
280,2025-11-11 03:41:00,4151.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
281,2025-11-11 03:42:00,4151.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
282,2025-11-11 03:43:00,4151.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
283,2025-11-11 03:44:00,4149.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
284,2025-11-11 03:45:00,4150.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
285,2025-11-11 03:46:00,4151.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
286,2025-11-11 03:47:00,4152.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
287,2025-11-11 03:48:00,4152.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
288,2025-11-11 03:49:00,4151.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
289,2025-11-11 03:50:00,4152,4147.4,4123.1,4135.25,True,False,100,True,False,True
290,2025-11-11 03:51:00,4152.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
291,2025-11-11 03:52:00,4151.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
292,2025-11-11 03:53:00,4151.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
293,2025-11-11 03:54:00,4151.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
294,2025-11-11 03:55:00,4151,4147.4,4123.1,4135.25,True,False,100,True,False,True
295,2025-11-11 03:56:00,4151.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
296,2025-11-11 03:57:00,4150.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
297,2025-11-11 03:58:00,4152.2,4147.4,4123.1,4135.25,True,False,100,True,False,True
298,2025-11-11 03:59:00,4152.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
299,2025-11-11 04:00:00,4152.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
300,2025-11-11 04:01:00,4153.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
301,2025-11-11 04:02:00,4153.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
302,2025-11-11 04:03:00,4154.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
303,2025-11-11 04:04:00,4154.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
304,2025-11-11 04:05:00,4154.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
305,2025-11-11 04:06:00,4152.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
306,2025-11-11 04:07:00,4151.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
307,2025-11-11 04:08:00,4151,4147.4,4123.1,4135.25,True,False,100,True,False,True
308,2025-11-11 04:09:00,4150.2,4147.4,4123.1,4135.25,True,False,100,True,False,True
309,2025-11-11 04:10:00,4150.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
310,2025-11-11 04:11:00,4150.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
311,2025-11-11 04:12:00,4150.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
312,2025-11-11 04:13:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
313,2025-11-11 04:14:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
314,2025-11-11 04:15:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
315,2025-11-11 04:16:00,4149.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
316,2025-11-11 04:17:00,4149,4147.4,4123.1,4135.25,True,False,100,True,False,True
317,2025-11-11 04:18:00,4148.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
318,2025-11-11 04:19:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
319,2025-11-11 04:20:00,4149.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
320,2025-11-11 04:21:00,4149.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
321,2025-11-11 04:22:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
322,2025-11-11 04:23:00,4149.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
323,2025-11-11 04:24:00,4149.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
324,2025-11-11 04:25:00,4148.8,4147.4,4123.1,4135.25,True,False,100,True,False,True
325,2025-11-11 04:26:00,4148.2,4147.4,4123.1,4135.25,True,False,100,True,False,True
326,2025-11-11 04:27:00,4149,4147.4,4123.1,4135.25,True,False,100,True,False,True
327,2025-11-11 04:28:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
328,2025-11-11 04:29:00,4149.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
329,2025-11-11 04:30:00,4150,4147.4,4123.1,4135.25,True,False,100,True,False,True
330,2025-11-11 04:31:00,4151,4147.4,4123.1,4135.25,True,False,100,True,False,True
331,2025-11-11 04:32:00,4149.7,4147.4,4123.1,4135.25,True,False,100,True,False,True
332,2025-11-11 04:33:00,4150.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
333,2025-11-11 04:34:00,4150.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
334,2025-11-11 04:35:00,4150.5,4147.4,4123.1,4135.25,True,False,100,True,False,True
335,2025-11-11 04:36:00,4150.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
336,2025-11-11 04:37:00,4150.3,4147.4,4123.1,4135.25,True,False,100,True,False,True
337,2025-11-11 04:38:00,4150,4147.4,4123.1,4135.25,True,False,100,True,False,True
338,2025-11-11 04:39:00,4150.4,4147.4,4123.1,4135.25,True,False,100,True,False,True
339,2025-11-11 04:40:00,4151.1,4147.4,4123.1,4135.25,True,False,100,True,False,True
340,2025-11-11 04:41:00,4149.6,4147.4,4123.1,4135.25,True,False,100,True,False,True
341,2025-11-11 04:42:00,4148.9,4147.4,4123.1,4135.25,True,False,100,True,False,True
